,url,Attribute,Home Result,Away Result
80,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,6
81,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Goals %,75,88
82,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Dropped Goals,0,0
83,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
84,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Total Runs,107,134
85,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Metres Run With Ball,619,425
86,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Tries,2,3
87,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Conversion Goals,2,3
88,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,3
89,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Penalty Goals,3,1
90,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,1
91,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Goals %,100,100
92,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Dropped Goals,0,0
93,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
94,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Total Runs,142,111
95,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Metres Run With Ball,743,566
96,https://www.flashscore.com/match/44cOyXaS/#/match-summary/match-statistics/0,Yellow Cards,1,0
97,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Tries,7,3
98,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Conversion Goals,5,3
99,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Conversion Goal Attempts,7,3
100,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Penalty Goals,0,1
101,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,2
102,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Goals %,71,80
103,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Dropped Goals,0,0
104,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
105,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Total Runs,133,89
106,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Metres Run With Ball,744,304
107,https://www.flashscore.com/match/MqYLQCsk/#/match-summary/match-statistics/0,Yellow Cards,1,1
108,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Tries,3,5
109,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Conversion Goals,3,4
110,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,5
111,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Penalty Goals,1,2
112,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,3
113,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Goals %,125,75
114,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Dropped Goals,1,0
115,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
116,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Total Runs,107,112
117,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Metres Run With Ball,463,531
118,https://www.flashscore.com/match/fclGEsij/#/match-summary/match-statistics/0,Yellow Cards,1,0
119,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Tries,6,2
120,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Conversion Goals,3,2
121,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Conversion Goal Attempts,6,2
122,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Penalty Goals,0,0
123,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,0
124,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Goals %,50,100
125,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Dropped Goals,0,0
126,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
127,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Total Runs,126,175
128,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Metres Run With Ball,468,636
129,https://www.flashscore.com/match/xt8qK3TS/#/match-summary/match-statistics/0,Yellow Cards,0,1
130,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Tries,2,2
131,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Conversion Goals,1,2
132,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,2
133,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Penalty Goals,2,1
134,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,2
135,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Goals %,60,75
136,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Dropped Goals,0,0
137,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
138,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Total Runs,92,110
139,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Metres Run With Ball,402,434
140,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary/match-statistics/0,Yellow Cards,0,1
141,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Tries,6,3
142,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Conversion Goals,5,2
143,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Conversion Goal Attempts,6,3
144,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Penalty Goals,1,0
145,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,0
146,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Goals %,75,67
