,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid,home_resid_abs,away_resid_abs,Home Win (%),Away Win (%),Draw (%)
10,England,23,Ireland,22,19.11,9.738435206473971,1,1,1,23.36,11.808369348554772,1,1,1,3.8900000000000006,-1.3599999999999994,3.8900000000000006,1.3599999999999994,37.55,60.4,2.0500000000000003
11,Wales,24,France,45,18.77,9.913054338984912,1,1,1,30.45,13.039851346042946,1,0,0,5.23,14.55,5.23,14.55,22.625,75.4,1.975
12,Wales,21,Italy,24,21.95,10.340780965610392,1,1,1,23.63,12.105084919802712,1,1,1,-0.9499999999999993,0.370000000000001,0.9499999999999993,0.370000000000001,45.775,51.800000000000004,2.4250000000000003
13,Ireland,17,Scotland,13,24.08,10.376289278764682,1,1,1,22.05,11.765030140373455,1,1,0,-7.079999999999998,-9.05,7.079999999999998,9.05,54.2,43.475,2.325
14,France,33,England,31,26.54,10.660384474977631,1,1,1,20.93,11.427565929563562,1,1,0,6.460000000000001,10.07,6.460000000000001,10.07,64.0,33.475,2.5250000000000004
15,Wales,13,South Africa,41,15.95,9.180991438163703,1,1,1,31.52,13.536114037450687,1,1,0,-2.9499999999999993,9.48,2.9499999999999993,9.48,16.75,81.675,1.575
16,New Zealand,16,England,15,27.56,10.384852874887201,1,0,0,20.19,11.279298264981545,1,1,1,-11.559999999999999,-5.190000000000001,11.559999999999999,5.190000000000001,67.875,29.875,2.25
17,Australia,25,Wales,16,31.67,11.576178175566286,1,1,1,22.13,11.643885461143649,1,1,1,-6.670000000000002,-6.129999999999999,6.670000000000002,6.129999999999999,70.825,27.224999999999998,1.95
18,South Africa,27,Ireland,20,22.34,10.403175793828668,1,1,1,18.59,10.8451640489009,1,1,1,4.66,1.4100000000000001,4.66,1.4100000000000001,59.175,38.15,2.675
19,Argentina,13,France,28,24.3,10.509410223934639,1,0,0,27.64,12.53714207907786,1,1,1,-11.3,0.35999999999999943,11.3,0.35999999999999943,40.725,56.474999999999994,2.8000000000000003
20,New Zealand,24,England,17,27.55,10.659153685387679,1,1,1,20.17,11.236421746934088,1,1,1,-3.5500000000000007,-3.1700000000000017,3.5500000000000007,3.1700000000000017,68.27499999999999,30.025000000000002,1.7000000000000002
21,Australia,36,Wales,28,31.57,11.582722478066785,1,1,1,22.13,11.70907758530045,1,1,1,4.43,5.870000000000001,4.43,5.870000000000001,71.775,26.450000000000003,1.775
22,South Africa,24,Ireland,25,22.31,10.325726764072126,1,1,1,18.09,10.568633513258668,1,1,0,1.6900000000000013,6.91,1.6900000000000013,6.91,60.75000000000001,36.275,2.9749999999999996
23,Argentina,33,France,25,24.23,10.549365867070408,1,1,0,27.61,12.40472929098085,1,1,1,8.77,-2.6099999999999994,8.77,2.6099999999999994,40.949999999999996,56.225,2.825
24,Australia,7,South Africa,33,19.5,10.13692358756807,1,0,0,30.05,13.014475374634637,1,1,1,-12.5,2.9499999999999993,12.5,2.9499999999999993,24.925,72.95,2.125
25,New Zealand,30,Argentina,38,31.15,11.195718090085167,1,1,1,22.51,11.795826311769968,1,0,0,-1.1499999999999986,15.489999999999998,1.1499999999999986,15.489999999999998,69.55,28.225,2.225
26,New Zealand,42,Argentina,10,31.05,11.26583443038247,1,1,0,22.39,11.775500376473117,1,1,0,10.95,-12.39,10.95,12.39,69.45,28.499999999999996,2.0500000000000003
27,Australia,12,South Africa,30,19.47,9.839342315130194,1,1,0,30.27,12.82558924800132,1,1,1,-7.469999999999999,-0.2699999999999996,7.469999999999999,0.2699999999999996,24.575,73.32499999999999,2.1
28,Fiji,42,Samoa,16,33.4,12.099982120352472,1,1,0,21.73,11.829102584839081,1,1,1,8.600000000000001,-5.73,8.600000000000001,5.73,75.02499999999999,22.925,2.0500000000000003
29,Canada,28,Japan,55,28.85,11.271033297662951,1,1,1,39.01,15.321338658047626,1,0,0,-0.8500000000000014,15.990000000000002,0.8500000000000014,15.990000000000002,29.75,68.45,1.7999999999999998
30,Samoa,43,Tonga,17,32.43,12.27976074951451,1,1,0,24.94,12.521237672795314,1,1,1,10.57,-7.940000000000001,10.57,7.940000000000001,66.07499999999999,31.95,1.975
31,USA,28,Canada,15,26.56,11.310446131131263,1,1,1,19.91,11.493712912710759,1,1,1,1.4400000000000013,-4.91,1.4400000000000013,4.91,65.825,32.025,2.15
32,Tonga,19,Fiji,50,21.42,10.523399588070298,1,1,1,35.92,14.85921644183945,1,1,0,-2.4200000000000017,14.079999999999998,2.4200000000000017,14.079999999999998,21.725,76.9,1.375
