date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2023-10-15,France,South Africa,28,29,3.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2023-10-15,England,Fiji,30,24,2.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,6.0,4.0,1.0,0.0,1.0,0.0,6.0,1.0
2023-10-20,Argentina,New Zealand,6,44,0.0,7.0,0.0,3.0,0.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2023-10-21,England,South Africa,15,16,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,3.0
2023-10-27,Argentina,England,23,26,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0
2023-10-28,New Zealand,South Africa,11,12,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0
2024-02-02,France,Ireland,17,38,2.0,5.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-02-03,Italy,England,24,27,3.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0
2024-02-03,Wales,Scotland,26,27,4.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-02-10,England,Wales,16,14,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-02-10,Scotland,France,16,20,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0
2024-02-11,Ireland,Italy,36,0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-24,Scotland,England,30,21,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0
2024-02-24,Ireland,Wales,31,7,4.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-25,France,Italy,13,13,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2024-03-09,England,Ireland,23,22,3.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0
2024-03-09,Italy,Scotland,31,29,3.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
2024-03-10,Wales,France,24,45,3.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0
2024-03-16,France,England,33,31,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
2024-03-16,Ireland,Scotland,17,13,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
2024-03-16,Wales,Italy,21,24,3.0,2.0,3.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
2024-06-22,South Africa,Wales,41,13,5.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2024-06-22,Japan,England,17,52,2.0,8.0,2.0,6.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-07-05,Georgia,Fiji,12,21,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
2024-07-05,Samoa,Italy,33,25,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
2024-07-06,USA,Romania,20,22,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0
2024-07-06,South Africa,Ireland,27,20,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-07-06,Australia,Wales,25,16,3.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
2024-07-06,New Zealand,England,16,15,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-07-06,Canada,Scotland,12,73,2.0,11.0,1.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,Argentina,France,13,28,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0
2024-07-12,USA,Scotland,7,42,1.0,6.0,1.0,6.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,Tonga,Italy,14,36,2.0,5.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13,Canada,Romania,35,22,4.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2024-07-13,Samoa,Spain,34,30,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
2024-07-13,Namibia,Portugal,22,37,1.0,4.0,1.0,4.0,1.0,4.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
2024-07-13,South Africa,Ireland,24,25,0.0,1.0,0.0,1.0,0.0,1.0,8.0,4.0,8.0,4.0,0.0,2.0,0.0,2.0,8.0,6.0
2024-07-13,Japan,Georgia,23,25,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
2024-07-13,Australia,Wales,36,28,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-07-13,New Zealand,England,24,17,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
2024-07-13,Argentina,France,33,25,5.0,3.0,4.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-07-14,Paraguay,Hong Kong,12,80,2.0,12.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,Tonga,Spain,20,29,3.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0
2024-07-20,Brazil,Hong Kong,25,26,3.0,4.0,2.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-07-20,Paraguay,Belgium,20,45,3.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-07-20,Chile,Scotland,11,52,1.0,8.0,0.0,6.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
