,mean,sd,hdi_3%,hdi_97%,r_hat
home_theta[53],23.58,4.65,15.02,32.71,1.01
home_theta[54],21.96,5.75,12.07,32.89,1.0
home_theta[55],26.77,5.25,17.47,37.35,1.01
home_theta[56],23.38,4.59,14.8,32.15,1.01
sigma_home_points[0],8.35,1.8,5.22,11.65,1.0
sigma_home_points[1],8.05,1.69,5.18,11.01,1.01
sigma_home_points[2],7.62,1.54,4.91,10.39,1.01
sigma_home_points[3],10.72,2.2,7.01,14.93,1.0
sigma_home_points[4],10.28,2.02,6.83,14.17,1.0
sigma_home_points[5],10.13,2.12,6.52,13.88,1.0
sigma_home_points[6],10.68,2.21,6.97,14.72,1.0
sigma_home_points[7],10.61,2.13,7.09,14.61,1.01
sigma_home_points[8],11.14,2.3,7.34,15.32,1.0
sigma_home_points[9],8.29,1.59,5.69,11.45,1.0
sigma_home_points[10],7.31,1.51,4.81,10.21,1.0
sigma_home_points[11],7.45,1.57,4.86,10.44,1.01
sigma_home_points[12],8.3,1.79,5.3,11.72,1.0
sigma_home_points[13],9.33,1.99,6.03,13.05,1.0
sigma_home_points[14],9.89,1.9,6.72,13.43,1.0
sigma_home_points[15],5.87,1.58,3.41,8.63,1.01
sigma_home_points[16],10.05,2.15,6.56,14.28,1.0
sigma_home_points[17],11.49,2.36,7.47,15.71,1.0
sigma_home_points[18],8.29,1.71,5.54,11.6,1.0
sigma_home_points[19],10.05,2.12,6.26,13.93,1.0
sigma_home_points[20],10.05,2.15,6.56,14.28,1.0
sigma_home_points[21],11.49,2.36,7.47,15.71,1.0
sigma_home_points[22],8.29,1.71,5.54,11.6,1.0
sigma_home_points[23],10.05,2.12,6.26,13.93,1.0
sigma_home_points[24],7.75,2.24,4.31,12.11,1.0
sigma_home_points[25],10.78,2.07,7.25,14.52,1.0
sigma_home_points[26],10.78,2.07,7.25,14.52,1.0
sigma_home_points[27],7.75,2.24,4.31,12.11,1.0
sigma_home_points[28],11.59,2.39,7.63,16.26,1.0
sigma_home_points[29],10.64,2.49,6.51,15.42,1.0
sigma_home_points[30],11.31,2.39,7.8,16.12,1.0
sigma_home_points[31],9.83,2.31,6.07,14.04,1.0
sigma_home_points[32],8.71,2.04,5.06,12.35,1.01
sigma_home_points[33],10.67,2.17,6.9,14.63,1.0
sigma_home_points[34],10.23,2.45,6.39,14.96,1.01
sigma_home_points[35],9.86,2.15,6.37,14.17,1.0
sigma_home_points[36],11.5,2.48,7.2,16.14,1.0
sigma_home_points[37],8.72,2.11,5.14,12.79,1.01
sigma_home_points[38],13.03,2.63,8.8,18.3,1.0
sigma_home_points[39],9.44,2.29,5.69,13.77,1.0
sigma_home_points[40],7.86,1.61,5.13,10.87,1.01
sigma_home_points[41],11.56,1.96,8.05,15.21,1.0
sigma_home_points[42],8.19,1.86,5.18,11.74,1.0
sigma_home_points[43],9.85,1.86,6.76,13.39,1.0
sigma_home_points[44],8.68,1.87,5.43,12.05,1.0
sigma_home_points[45],13.51,2.54,9.15,18.04,1.0
sigma_home_points[46],8.09,1.72,5.21,11.25,1.01
sigma_home_points[47],8.43,2.2,4.89,12.6,1.01
sigma_home_points[48],9.7,1.94,6.42,13.25,1.0
sigma_home_points[49],11.65,2.75,7.39,17.04,1.0
sigma_home_points[50],9.0,2.27,4.68,12.97,1.0
sigma_home_points[51],14.36,2.99,9.73,20.04,1.01
sigma_home_points[52],6.86,1.64,4.19,9.9,1.01
sigma_home_points[53],8.98,1.91,5.64,12.35,1.0
sigma_home_points[54],8.22,2.09,4.58,12.08,1.0
sigma_home_points[55],8.39,1.66,5.58,11.44,1.0
sigma_home_points[56],10.62,1.87,7.49,14.24,1.0
sigma_away_points[0],12.25,2.91,7.62,17.77,1.0
sigma_away_points[1],13.19,3.36,7.73,19.39,1.01
sigma_away_points[2],17.0,4.3,9.87,24.38,1.0
sigma_away_points[3],13.88,3.6,8.08,20.45,1.01
sigma_away_points[4],10.05,2.82,5.38,15.33,1.01
sigma_away_points[5],9.32,3.0,4.4,14.76,1.01
sigma_away_points[6],8.56,2.81,4.05,13.73,1.01
sigma_away_points[7],12.19,3.26,6.99,18.12,1.01
sigma_away_points[8],11.06,3.12,6.03,17.08,1.01
sigma_away_points[9],16.14,4.2,9.39,23.88,1.0
sigma_away_points[10],12.15,2.88,7.26,17.29,1.0
sigma_away_points[11],15.82,3.71,9.44,22.52,1.01
sigma_away_points[12],12.94,3.5,7.58,19.68,1.01
sigma_away_points[13],12.23,3.72,6.17,18.85,1.0
sigma_away_points[14],11.85,3.01,7.32,17.9,1.01
sigma_away_points[15],15.7,3.53,9.92,22.43,1.0
sigma_away_points[16],10.65,2.85,6.27,16.0,1.01
sigma_away_points[17],11.42,3.2,6.2,17.14,1.01
sigma_away_points[18],9.58,2.53,5.53,14.31,1.01
sigma_away_points[19],14.45,3.68,8.44,21.12,1.0
sigma_away_points[20],10.65,2.85,6.27,16.0,1.01
sigma_away_points[21],11.42,3.2,6.2,17.14,1.01
sigma_away_points[22],9.58,2.53,5.53,14.31,1.01
sigma_away_points[23],14.45,3.68,8.44,21.12,1.0
sigma_away_points[24],15.12,3.62,9.29,21.9,1.0
sigma_away_points[25],12.12,2.91,7.35,17.3,1.0
sigma_away_points[26],12.12,2.91,7.35,17.3,1.0
sigma_away_points[27],15.12,3.62,9.29,21.9,1.0
sigma_away_points[28],12.61,3.82,6.54,19.68,1.01
sigma_away_points[29],17.93,4.12,11.41,25.75,1.0
sigma_away_points[30],13.22,4.2,6.31,20.91,1.01
sigma_away_points[31],11.07,3.8,4.59,18.0,1.01
sigma_away_points[32],17.35,4.36,10.05,25.03,1.0
sigma_away_points[33],14.26,4.44,6.87,22.5,1.01
sigma_away_points[34],14.34,4.55,6.54,22.64,1.0
sigma_away_points[35],11.54,3.95,5.02,18.75,1.01
sigma_away_points[36],17.01,4.22,10.07,24.72,1.0
sigma_away_points[37],12.8,4.4,5.64,20.4,1.01
sigma_away_points[38],15.36,3.95,9.02,22.97,1.0
sigma_away_points[39],18.4,3.98,11.75,25.72,1.0
sigma_away_points[40],13.5,3.11,8.34,19.12,1.0
sigma_away_points[41],13.38,3.57,7.46,19.7,1.0
sigma_away_points[42],11.47,3.17,6.27,17.14,1.0
sigma_away_points[43],13.03,2.91,8.11,18.15,1.0
sigma_away_points[44],15.01,3.38,9.72,21.18,1.0
sigma_away_points[45],14.12,3.48,8.36,20.5,1.0
sigma_away_points[46],15.24,3.68,8.91,21.86,1.01
sigma_away_points[47],13.76,3.37,8.41,20.02,1.0
sigma_away_points[48],11.36,3.07,6.39,16.93,1.0
sigma_away_points[49],15.49,4.85,7.67,24.4,1.0
sigma_away_points[50],14.61,4.3,7.68,22.28,1.01
sigma_away_points[51],12.15,3.68,6.3,18.92,1.01
sigma_away_points[52],13.28,3.06,8.18,18.84,1.0
sigma_away_points[53],13.64,3.23,8.61,19.74,1.01
sigma_away_points[54],12.82,4.13,6.02,20.52,1.01
sigma_away_points[55],15.38,3.19,10.11,21.11,1.01
sigma_away_points[56],13.5,3.05,8.51,19.23,1.0
