,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid
30,Samoa,43,Tonga,17,32.6,12.144629299538206,1,1,0,24.92,12.700692562703283,1,1,1,10.399999999999999,-7.920000000000002
31,USA,28,Canada,15,26.62,11.286734573820638,1,1,1,19.66,11.426540133391956,1,1,1,1.379999999999999,-4.66
32,Tonga,19,Fiji,50,21.43,10.3799737202424,1,1,1,36.05,14.674734772028195,1,1,0,-2.4299999999999997,13.950000000000003
33,Japan,41,USA,24,29.76,11.529556578750327,1,1,0,26.39,12.526362059485697,1,1,1,11.239999999999998,-2.3900000000000006
34,Tonga,30,Canada,17,29.12,11.761212056227802,1,1,1,27.06,12.811661607100188,1,1,0,0.879999999999999,-10.059999999999999
35,Fiji,22,USA,3,26.87,11.152636040267566,1,1,1,19.4,11.575535612117626,1,0,0,-4.870000000000001,-16.4
36,Samoa,27,Japan,49,32.56,11.616999525368191,1,1,1,34.59,13.688872414505486,1,0,0,-5.560000000000002,14.409999999999997
37,Samoa,18,USA,13,22.71,10.409722421461042,1,1,1,22.77,12.121836801905932,1,1,0,-4.710000000000001,-9.77
38,Fiji,41,Japan,17,39.11,11.861510697155285,1,1,1,27.65,12.724644894287028,1,1,0,1.8900000000000006,-10.649999999999999
39,Japan,19,New Zealand,64,24.31,10.723278256709202,1,1,1,40.87,15.679055491198202,1,0,0,-5.309999999999999,23.130000000000003
40,England,22,New Zealand,24,20.45,10.116838298114088,1,1,1,26.28,12.071205816444088,1,1,1,1.5500000000000007,-2.280000000000001
41,Scotland,57,Fiji,17,30.69,12.052096391460415,0,0,0,23.61,12.19267708004736,1,1,1,26.31,-6.609999999999999
42,Ireland,13,New Zealand,23,20.93,9.98625280187556,1,1,0,21.84,11.618953154508919,1,1,1,-7.93,1.1600000000000001
43,England,37,Australia,42,26.77,11.141365393351357,1,1,0,24.78,12.269721311791944,1,0,0,10.23,17.22
44,Italy,18,Argentina,50,23.12,10.443482689468143,1,1,1,27.8,13.125388947128801,1,0,0,-5.120000000000001,22.2
45,France,52,Japan,12,42.08,12.389425186063916,1,1,0,24.05,11.888774391340624,1,1,0,9.920000000000002,-12.05
46,Wales,19,Fiji,24,21.63,10.393618651703736,1,1,1,28.77,12.434774741524524,1,1,1,-2.629999999999999,-4.77
47,Scotland,15,South Africa,32,20.98,10.295047264366842,1,1,1,26.04,12.30173489329745,1,1,1,-5.98,5.960000000000001
48,Ireland,22,Argentina,19,26.8,10.798625660490323,1,1,1,20.98,11.376270824428813,1,1,1,-4.800000000000001,-1.9800000000000004
49,Japan,36,Uruguay,20,32.22,12.297151037065627,1,1,1,28.7,13.073306940041899,1,1,1,3.780000000000001,-8.7
50,Spain,19,Fiji,33,22.99,10.875321431407016,1,1,1,27.76,13.314400748776224,1,1,1,-3.9899999999999984,5.239999999999998
51,Scotland,59,Portugal,21,46.34,14.191459741749682,1,1,0,21.76,11.841490087281908,1,1,1,12.659999999999997,-0.7600000000000016
52,England,20,South Africa,29,17.87,9.550130232333183,1,1,1,26.22,12.011525699949981,1,1,1,2.129999999999999,2.780000000000001
53,France,30,New Zealand,29,23.31,10.495849807573904,1,1,0,24.12,12.108689983414175,1,1,1,6.690000000000001,4.879999999999999
54,Italy,20,Georgia,17,21.46,10.660901237117688,1,1,1,22.03,12.099426919180344,1,1,1,-1.4600000000000009,-5.030000000000001
55,Wales,20,Australia,52,23.19,10.38824749325046,1,1,1,29.74,12.99691104688505,1,0,0,-3.1900000000000013,22.26
56,France,37,Argentina,23,29.54,10.736482935311372,1,1,0,23.17,11.692615446963556,1,1,1,7.460000000000001,-0.1700000000000017
