,url,Attribute,Home Result,Away Result
79,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Dropped Goals,0,1
80,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,1
81,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Total Runs,86,102
82,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Metres Run With Ball,299,380
83,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Yellow Cards,1,0
84,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Tries,4,1
85,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Conversion Goals,4,0
86,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Conversion Goal Attempts,4,0
87,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Penalty Goals,1,0
88,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,0
89,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Goals %,100,0
90,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Dropped Goals,0,0
91,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
92,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Total Runs,159,126
93,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Metres Run With Ball,496,289
94,https://www.flashscore.com/match/UmjVlBQT/#/match-summary/match-statistics/0,Yellow Cards,2,0
95,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Tries,6,0
96,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Conversion Goals,3,0
97,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Conversion Goal Attempts,6,0
98,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Penalty Goals,0,0
99,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,0
100,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Goals %,50,0
101,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Dropped Goals,0,0
102,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
103,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Total Runs,168,79
104,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Metres Run With Ball,606,243
105,https://www.flashscore.com/match/zDySkiBN/#/match-summary/match-statistics/0,Yellow Cards,0,1
106,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Tries,2,2
107,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Conversion Goals,0,1
108,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,1
109,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Penalty Goals,2,0
110,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,0
111,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Goals %,50,100
112,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Dropped Goals,0,0
113,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
114,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Total Runs,73,120
115,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Metres Run With Ball,277,245
116,https://www.flashscore.com/match/dMxOjXeH/#/match-summary/match-statistics/0,Yellow Cards,2,1
117,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Tries,1,2
118,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Conversion Goals,1,2
119,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Conversion Goal Attempts,1,2
120,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Penalty Goals,3,2
121,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,2
122,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Goals %,80,100
123,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Dropped Goals,0,0
124,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
125,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Total Runs,125,89
126,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Metres Run With Ball,405,331
127,https://www.flashscore.com/match/EcmJiDtB/#/match-summary/match-statistics/0,Yellow Cards,0,1
128,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Tries,4,3
129,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Conversion Goals,3,3
130,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,3
131,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Penalty Goals,0,2
132,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,2
133,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Goals %,100,100
134,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Dropped Goals,0,0
135,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
136,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Total Runs,140,121
137,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Metres Run With Ball,445,370
138,https://www.flashscore.com/match/0fqFhgR4/#/match-summary/match-statistics/0,Yellow Cards,0,2
139,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Tries,3,2
140,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Conversion Goals,3,1
141,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,1
142,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Penalty Goals,1,5
143,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,5
144,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Goals %,100,100
145,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Dropped Goals,0,0
146,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
147,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Total Runs,98,119
148,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Metres Run With Ball,332,347
149,https://www.flashscore.com/match/6XqBgZBb/#/match-summary/match-statistics/0,Yellow Cards,1,1
150,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Tries,2,5
151,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Conversion Goals,2,5
152,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,5
153,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Penalty Goals,1,1
154,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,1
155,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Goals %,100,100
156,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Dropped Goals,0,0
157,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
158,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Total Runs,93,113
159,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Metres Run With Ball,314,389
160,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Yellow Cards,1,1
161,https://www.flashscore.com/match/Sto7fFdh/#/match-summary/match-statistics/0,Red Cards,1,0
